otomotif 1:0.0000 2:0.0000 3:0.0000 4:0.5000 5:0.4167 6:0.3333 7:0.0102 8:0.0052 9:0.0024 10:0.2271 11:0.0779 12:0.0659 13:0.0176 14:0.0062 15:0.0000 16:0.1853 17:0.0938 18:0.0900 19:0.0061 20:0.0000 21:0.0000 22:0.1653 23:0.0689 24:0.0794 
otomotif 1:0.0667 2:0.0000 3:0.0000 4:0.6667 5:0.7333 6:0.6000 7:0.0000 8:0.0000 9:0.0000 10:0.2316 11:0.1304 12:0.0917 13:0.0033 14:0.0000 15:0.0000 16:0.1663 17:0.0643 18:0.0365 19:0.0000 20:0.0000 21:0.0000 22:0.1594 23:0.0324 24:0.0079 
otomotif 1:0.0714 2:0.0000 3:0.0000 4:0.6429 5:0.7143 6:0.5714 7:0.0108 8:0.0000 9:0.0000 10:0.2378 11:0.0909 12:0.0783 13:0.0068 14:0.0058 15:0.0000 16:0.1500 17:0.0346 18:0.0226 19:0.0000 20:0.0033 21:0.0033 22:0.1708 23:0.0700 24:0.0457 
otomotif 1:0.0000 2:0.0000 3:0.0000 4:0.3333 5:0.1111 6:0.0000 7:0.0000 8:0.0000 9:0.0000 10:0.1302 11:0.0000 12:0.0073 13:0.0032 14:0.0000 15:0.0000 16:0.1277 17:0.0423 18:0.0242 19:0.0000 20:0.0123 21:0.0039 22:0.1364 23:0.0370 24:0.0195 
otomotif 1:0.0000 2:0.0000 3:0.0000 4:0.5455 5:0.2727 6:0.2727 7:0.0000 8:0.0000 9:0.0000 10:0.2154 11:0.0571 12:0.0571 13:0.0000 14:0.0107 15:0.0000 16:0.1269 17:0.0536 18:0.0321 19:0.0103 20:0.0000 21:0.0000 22:0.1448 23:0.0833 24:0.0675 
otomotif 1:0.0000 2:0.0000 3:0.0000 4:0.3750 5:0.1250 6:0.1250 7:0.0000 8:0.0000 9:0.0000 10:0.2154 11:0.0889 12:0.0577 13:0.0031 14:0.0000 15:0.0000 16:0.1255 17:0.0401 18:0.0184 19:0.0000 20:0.0000 21:0.0000 22:0.1308 23:0.0209 24:0.0000 
otomotif 1:0.0000 2:0.0000 3:0.0000 4:0.4444 5:0.4000 6:0.2000 7:0.0000 8:0.0000 9:0.0000 10:0.1962 11:0.0895 12:0.0608 13:0.0000 14:0.0000 15:0.0000 16:0.1432 17:0.0625 18:0.0302 19:0.0000 20:0.0000 21:0.0000 22:0.1077 23:0.0300 24:0.0115 
otomotif 1:0.0000 2:0.0000 3:0.0000 4:0.4286 5:0.1429 6:0.0000 7:0.0000 8:0.0000 9:0.0000 10:0.1436 11:0.0400 12:0.0157 13:0.0000 14:0.0000 15:0.0000 16:0.1068 17:0.0425 18:0.0212 19:0.0000 20:0.0000 21:0.0000 22:0.1381 23:0.0407 24:0.0183 
otomotif 1:0.0000 2:0.0000 3:0.0000 4:0.5556 5:0.4444 6:0.2222 7:0.0000 8:0.0000 9:0.0000 10:0.1511 11:0.0194 12:0.0065 13:0.0000 14:0.0000 15:0.0000 16:0.1345 17:0.0508 18:0.0236 19:0.0061 20:0.0000 21:0.0000 22:0.1163 23:0.0386 24:0.0123 
otomotif 1:0.0000 2:0.0000 3:0.0000 4:0.8182 5:0.6364 6:0.4545 7:0.0000 8:0.0000 9:0.0000 10:0.2000 11:0.0000 12:0.0000 13:0.0000 14:0.0000 15:0.0000 16:0.1500 17:0.0000 18:0.0000 19:0.0000 20:0.0000 21:0.0000 22:0.0000 23:0.0000 24:0.0000 
otomotif 1:0.0000 2:0.0000 3:0.0000 4:0.6250 5:0.5000 6:0.2500 7:0.0000 8:0.0000 9:0.0000 10:0.1784 11:0.0505 12:0.0187 13:0.0061 14:0.0000 15:0.0000 16:0.1163 17:0.0469 18:0.0141 19:0.0000 20:0.0000 21:0.0000 22:0.1164 23:0.0355 24:0.0126 
otomotif 1:0.0000 2:0.0000 3:0.0000 4:0.7273 5:0.4545 6:0.2727 7:0.0000 8:0.0000 9:0.0000 10:0.1538 11:0.0588 12:0.0353 13:0.0000 14:0.0000 15:0.0000 16:0.1370 17:0.0375 18:0.0138 19:0.0000 20:0.0000 21:0.0000 22:0.1385 23:0.0495 24:0.0261 
otomotif 1:0.0000 2:0.0000 3:0.0000 4:0.5000 5:0.2500 6:0.0833 7:0.0057 8:0.0000 9:0.0000 10:0.2171 11:0.0615 12:0.0387 13:0.0000 14:0.0000 15:0.0000 16:0.1172 17:0.0345 18:0.0133 19:0.0000 20:0.0000 21:0.0000 22:0.1703 23:0.0480 24:0.0161 
otomotif 1:0.0000 2:0.0000 3:0.0000 4:0.7222 5:0.4444 6:0.2222 7:0.0000 8:0.0000 9:0.0000 10:0.1750 11:0.0438 12:0.0121 13:0.0000 14:0.0000 15:0.0000 16:0.1522 17:0.0385 18:0.0152 19:0.0000 20:0.0000 21:0.0000 22:0.1216 23:0.0312 24:0.0120 
otomotif 1:0.0000 2:0.0000 3:0.0000 4:0.5556 5:0.2222 6:0.0000 7:0.0000 8:0.0027 9:0.0000 10:0.2200 11:0.0827 12:0.0745 13:0.0000 14:0.0000 15:0.0000 16:0.1467 17:0.0548 18:0.0419 19:0.0047 20:0.0072 21:0.0000 22:0.1219 23:0.0289 24:0.0107 
otomotif 1:0.0000 2:0.0000 3:0.0000 4:0.8889 5:0.7778 6:0.6667 7:0.0000 8:0.0000 9:0.0000 10:0.1957 11:0.1016 12:0.0615 13:0.0000 14:0.0000 15:0.0000 16:0.1171 17:0.0353 18:0.0055 19:0.0000 20:0.0000 21:0.0000 22:0.1583 23:0.0818 24:0.0319 
otomotif 1:0.0000 2:0.0000 3:0.0000 4:0.8333 5:0.6667 6:0.5000 7:0.0000 8:0.0000 9:0.0000 10:0.1545 11:0.0491 12:0.0207 13:0.0000 14:0.0000 15:0.0000 16:0.0947 17:0.0148 18:0.0000 19:0.0000 20:0.0000 21:0.0000 22:0.1105 23:0.0529 24:0.0170 
otomotif 1:0.0909 2:0.0000 3:0.0000 4:0.5455 5:0.4545 6:0.2727 7:0.0073 8:0.0028 9:0.0000 10:0.2109 11:0.0979 12:0.0795 13:0.0000 14:0.0000 15:0.0000 16:0.1567 17:0.0702 18:0.0286 19:0.0000 20:0.0000 21:0.0000 22:0.1642 23:0.0634 24:0.0258 
otomotif 1:0.1250 2:0.0000 3:0.0000 4:0.7500 5:0.6250 6:0.3750 7:0.0067 8:0.0000 9:0.0000 10:0.2133 11:0.1096 12:0.0693 13:0.0000 14:0.0000 15:0.0000 16:0.1640 17:0.0573 18:0.0270 19:0.0000 20:0.0000 21:0.0000 22:0.1800 23:0.0818 24:0.0346 
otomotif 1:0.0000 2:0.0000 3:0.0000 4:0.6364 5:0.3636 6:0.2727 7:0.0000 8:0.0039 9:0.0000 10:0.2087 11:0.0971 12:0.0550 13:0.0000 14:0.0000 15:0.0000 16:0.1585 17:0.0273 18:0.0074 19:0.0000 20:0.0000 21:0.0000 22:0.1500 23:0.0595 24:0.0303 
